,sj_div,bsns_de,account_id,account_nm,label_kor,label_eng,ifrs_ref,data_tp
0,BS1,20180701,ifrs_StatementOfFinancialPositionAbstract,StatementOfFinancialPositionAbstract,재무상태표 [abstract],Statement of financial position [abstract], ,
1,BS1,20180701,ifrs_AssetsAbstract,AssetsAbstract,자산 [abstract],Assets [abstract], ,
2,BS1,20180701,ifrs_CurrentAssets,CurrentAssets,유동자산,Current assets,K-IFRS 1001 문단 60,X
3,BS1,20180701,ifrs_CashAndCashEquivalents,CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,"K-IFRS 1001 문단 54 (9),K-IFRS 1007 문단 45",X
4,BS1,20180701,ifrs_Cash,Cash,현금,Cash,"K-IFRS 1001 문단 54 (9),K-IFRS 1007 문단 45",X
5,BS1,20180701,ifrs_CashEquivalents,CashEquivalents,현금성자산,Cash equivalents,"K-IFRS 1001 문단 54 (9),K-IFRS 1007 문단 45",X
6,BS1,20180701,dart_GovernmentGrantsCashAndCashEquivalentsGross,GovernmentGrantsCashAndCashEquivalentsGross,정부보조금,"Government grants, cash and cash equivalents",K-IFRS 1020 문단 24,(X)
7,BS1,20180701,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,"K-IFRS 1001 문단 54 (4),K-IFRS 1001 문단 68,K-IFRS 1001 문단 78",X
8,BS1,20180701,ifrs_TradeAndOtherCurrentReceivables,TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,Trade and other current receivables,K-IFRS 1001 문단 54 (8),X
9,BS1,20180701,dart_ShortTermTradeReceivable,ShortTermTradeReceivable,매출채권,Short-term trade Receivable,"K-IFRS 1001 문단 54 (8),K-IFRS 1001 문단 78 (2)",X
10,BS1,20180701,dart_AllowanceForDoubtfulAcccountShortTermTradeReceivable,AllowanceForDoubtfulAcccountShortTermTradeReceivable,대손충당금,"Allowance for doubtful acccount, short-term trade Receivable","K-IFRS 1001 문단 54 (8),K-IFRS 1001 문단 78 (2)",(X)
11,BS1,20180701,dart_CurrentFinanceLeaseReceivables,CurrentFinanceLeaseReceivables,단기금융리스채권,Current finance lease receivables,"K-IFRS 1001 문단 54 (8),K-IFRS 1001 문단 78 (2)",X
12,BS1,20180701,dart_AllowanceForDoubtfulAcccountCurrentFinanceLeaseReceivables,AllowanceForDoubtfulAcccountCurrentFinanceLeaseReceivables,대손충당금,"Allowance for doubtful acccount, current finance lease receivables","K-IFRS 1001 문단 54 (8),K-IFRS 1001 문단 78 (2)",(X)
13,BS1,20180701,dart_ShortTermDeferredAncillaryIncomeForLoans,ShortTermDeferredAncillaryIncomeForLoans,단기이연대출부대수익,Short-term deferred ancillary income for loans,"K-IFRS 1001 문단 54 (8),K-IFRS 1001 문단 78 (2)",X
14,BS1,20180701,dart_AllowanceForDoubtfulAcccountShortTermDeferredAncillaryIncomeForLoans,AllowanceForDoubtfulAcccountShortTermDeferredAncillaryIncomeForLoans,대손충당금,"Allowance for doubtful acccount, short-term deferred ancillary income for loans","K-IFRS 1001 문단 54 (8),K-IFRS 1001 문단 78 (2)",(X)
15,BS1,20180701,dart_ShortTermOtherReceivables,ShortTermOtherReceivables,단기미수금,Short-term other Receivables,"K-IFRS 1001 문단 54 (8),K-IFRS 1001 문단 78 (2)",X
16,BS1,20180701,dart_AllowanceForDoubtfulAcccountShortTermOtherReceivables,AllowanceForDoubtfulAcccountShortTermOtherReceivables,대손충당금,"Allowance for doubtful acccount, short-term other Receivables","K-IFRS 1001 문단 54 (8),K-IFRS 1001 문단 78 (2)",(X)
17,BS1,20180701,dart_ReceivablesOnConstructionContracts,ReceivablesOnConstructionContracts,공사미수금,Receivables On construction contracts,"K-IFRS 1001 문단 54 (8),K-IFRS 1001 문단 78 (2)",X
