,sj_div,bsns_de,account_id,account_nm,label_kor,label_eng,ifrs_ref,data_tp
0,IS1,20180701,ifrs_IncomeStatementAbstract,IncomeStatementAbstract,손익계산서 [abstract],Income statement [abstract], ,
1,IS1,20180701,ifrs_Revenue,Revenue,수익(매출액),Revenue(Sales),K-IFRS 1001 문단 82 (1),X
2,IS1,20180701,ifrs_RevenueFromSaleOfGoods,RevenueFromSaleOfGoods,재화의 판매로 인한 수익(매출액),Revenue(Saels) from sale of goods,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
3,IS1,20180701,dart_RevenueFromSaleOfGoodsProduct,RevenueFromSaleOfGoodsProduct,제품매출액,Revenue from sale of goods product,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
4,IS1,20180701,dart_RevenueFromSaleOfGoodsMerchandise,RevenueFromSaleOfGoodsMerchandise,상품매출액,Revenue from sale of goods merchandise,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
5,IS1,20180701,dart_RevenueFromSaleOfGoodsRawMaterial,RevenueFromSaleOfGoodsRawMaterial,원재료매출액,Revenue from sale of goods raw material,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
6,IS1,20180701,dart_RevenueFromSaleOfGoodsFishing,RevenueFromSaleOfGoodsFishing,어획물매출액,Revenue from sale of goods fishing,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
7,IS1,20180701,dart_RevenueFromSaleOfGoodsTire,RevenueFromSaleOfGoodsTire,타이어매출,Revenue from sale of goods tire,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
8,IS1,20180701,ifrs_RevenueFromRenderingOfServices,RevenueFromRenderingOfServices,용역의 제공으로 인한 수익(매출액),Revenue(Sales) from rendering of services,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
9,IS1,20180701,dart_RevenueFromServices,RevenueFromServices,용역매출액,Revenue from services,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
10,IS1,20180701,dart_RevenueFromRenderingOfServicesGame,RevenueFromRenderingOfServicesGame,게임매출액,Revenue from rendering of services game,"K-IFRS 1001 문단 82 (1), K-IFRS 1001 문단 85",X
