bsns_year,quarter,value,previous
2016,2Q,50937120000000,49782252000000
2016,3Q,47815633000000,50937120000000
2016,4Q,53331740000000,47815633000000
2017,1Q,50547526000000,53331740000000
2017,2Q,61000537000000,50547526000000
2017,3Q,62048901000000,61000537000000
2017,4Q,65978412000000,62048901000000
2018,1Q,60563714000000,65978412000000
2018,2Q,58482658000000,60563714000000
2018,3Q,65459993000000,58482658000000
2018,4Q,59265050000000,65459993000000
2019,1Q,52385546000000,59265050000000
2019,2Q,56127104000000,52385546000000
2019,3Q,62003471000000,56127104000000
2019,4Q,59884760000000,62003471000000
2020,1Q,55325178000000,59884760000000
2020,2Q,52966142000000,55325178000000
2020,3Q,66964160000000,52966142000000
2020,4Q,61551508000000,66964160000000
2021,1Q,65388503000000,61551508000000
2021,2Q,63671585000000,65388503000000
2021,3Q,73979187000000,63671585000000
